2023-07-27 00:26: Experiment log path in: D:\旧电脑文件\毕业相关\论文\大修\代码\TARGCN\model\experiments\PEMS03\20230727002601
2023-07-27 00:26: Horizon 01, MAE: 18.61, RMSE: 32.50, MAPE: 498739.3125%
2023-07-27 00:26: Horizon 02, MAE: 18.70, RMSE: 32.85, MAPE: 507511.9688%
2023-07-27 00:26: Horizon 03, MAE: 18.93, RMSE: 33.24, MAPE: 524572.1875%
2023-07-27 00:26: Horizon 04, MAE: 19.18, RMSE: 33.69, MAPE: 529404.6250%
2023-07-27 00:26: Horizon 05, MAE: 19.47, RMSE: 34.20, MAPE: 523426.5625%
2023-07-27 00:26: Horizon 06, MAE: 19.97, RMSE: 34.99, MAPE: 548207.2500%
2023-07-27 00:26: Horizon 07, MAE: 20.71, RMSE: 36.04, MAPE: 546679.9375%
2023-07-27 00:26: Horizon 08, MAE: 21.59, RMSE: 37.15, MAPE: 555044.8125%
2023-07-27 00:26: Horizon 09, MAE: 22.58, RMSE: 38.44, MAPE: 558793.7500%
2023-07-27 00:26: Horizon 10, MAE: 23.71, RMSE: 39.94, MAPE: 567357.9375%
2023-07-27 00:26: Horizon 11, MAE: 24.99, RMSE: 41.73, MAPE: 591594.0625%
2023-07-27 00:26: Horizon 12, MAE: 26.45, RMSE: 43.87, MAPE: 610051.0000%
2023-07-27 00:26: Average Horizon, MAE: 21.24, RMSE: 36.73, MAPE: 546781.8125%
